"","A","mean_inc","occurrences"
"1",154.379547464018,72.0279703944159,398
"2",158.818514505725,93.2512477485367,436
"3",164.305634953397,88.7056028591942,573
"4",164.514034703458,128.458459052464,537
"5",164.664262212989,95.7674050846378,482
"6",165.990016218774,114.007394748212,451
"7",166.286578019574,98.8295017375575,469
"8",166.646166262669,79.6304887848373,379
"9",168.562565452566,93.7954137507442,501
"10",168.67211898082,82.2318522989282,615
"11",168.884227601651,98.1020563777151,570
"12",169.08407740029,91.1192530530778,429
"13",169.108577850941,75.308715362346,464
"14",169.69522763152,96.6024604019983,422
"15",169.736557475955,88.254802994381,586
"16",169.752271616205,101.305286441205,471
"17",169.756625024936,114.191255359934,487
"18",169.917971849983,81.7867788249183,446
"19",171.255443674221,106.405877440699,448
"20",171.322062953725,71.730936839358,603
"21",171.362399067037,96.653305174674,470
"22",171.759358695787,128.937078942752,499
"23",171.865415658826,102.566513686016,618
"24",172.979722942826,102.173635067183,563
"25",173.804233778599,105.010208772187,613
"26",174.12112374954,75.9506957469996,622
"27",174.421986770855,81.5279456713018,619
"28",174.442293508785,97.3473263482881,462
"29",174.476030909135,59.6215733494232,448
"30",174.791270983376,85.3178985973696,488
"31",175.173974688069,96.4071926543169,465
"32",175.278852360712,94.7200078108309,480
"33",175.300048847489,102.74391731284,522
"34",175.479463228958,100.116877224542,652
"35",175.739141524799,96.9501133780976,577
"36",176.476056081006,90.6057253128741,670
"37",176.518023941274,91.1054670548764,479
"38",176.877800227794,81.1862319405888,571
"39",176.99330110084,100.738190056072,463
"40",177.020857715133,99.0957055116358,488
"41",177.338455188854,84.5254145758215,422
"42",177.52688444199,84.9317674223017,415
"43",177.916657368474,85.2694697370742,483
"44",177.948723033376,86.8869712311867,509
"45",178.084548517453,75.2895586425651,444
"46",178.784484417804,155.837526480198,530
"47",179.183824138955,127.080109166395,507
"48",179.799572974185,81.4892712721742,459
"49",179.818574587794,94.4620878665353,496
"50",179.885287416149,98.1883958662752,457
"51",179.933977112229,100.755625352572,496
"52",179.977542440558,101.958310944623,392
"53",180.376633802533,125.337878488966,447
"54",180.726279423258,88.8986655448787,646
"55",180.746473001166,104.652304287475,426
"56",180.836315523151,144.893186811733,463
"57",181.104803743244,98.7206740853693,410
"58",181.320744005667,102.809695157766,423
"59",181.935084610615,97.5725492178601,539
"60",182.326617943385,99.1433893805741,515
"61",182.388797921906,91.0933752290499,529
"62",182.537658307089,78.4004185134224,516
"63",182.599432650284,93.6776710843213,435
"64",182.827680539868,86.4745784375611,508
"65",183.117317833541,106.207447403215,390
"66",183.15632120442,80.8802794289114,484
"67",183.179523075453,87.1607557842296,650
"68",183.264797006288,108.166257158925,592
"69",183.913209281322,76.2294447681741,492
"70",183.962357127631,81.4211631954591,554
"71",184.132263080378,96.4865989467849,433
"72",184.804433091175,93.3273812749141,485
"73",184.959657621931,94.4811196880404,414
"74",185.147192701706,87.1133307176183,526
"75",185.182269692596,100.431089891934,801
"76",185.227893323081,92.5533286661209,558
"77",185.346980422985,100.896081381761,652
"78",186.222727885706,103.559756279185,557
"79",186.286334931812,117.522403156454,564
"80",186.682221688956,108.29896348177,549
"81",186.840671371233,117.57736218033,461
"82",187.259013125405,89.0010672119318,665
"83",187.959366196231,97.2196719475277,595
"84",188.097301922694,83.6792539974971,471
"85",188.398933378801,90.5413386829238,587
"86",188.713220461318,97.775652058656,772
"87",188.750263344189,94.4268058048942,609
"88",188.864343341474,105.063860375763,684
"89",188.962056907384,85.810918749234,457
"90",189.652100782086,99.8473072742437,550
"91",189.977643887851,77.2689020140947,439
"92",190.65651122618,95.8796781357607,601
"93",192.237249640972,87.8487682786698,501
"94",192.366646535901,92.4841114506741,446
"95",193.618772932477,90.4554955060326,612
"96",194.393322323549,100.861462175704,515
"97",194.763158621021,101.03032679899,610
"98",196.588761906093,76.5795789667588,727
"99",197.556420771849,91.9312226139788,395
"100",197.741941910967,87.8275697836006,580
