"","phi","mean_inc","occurrences"
"1",0.219880545071844,91.8837808175281,500
"2",0.222750970201619,92.0686633143794,515
"3",0.227414667751073,91.3092563273038,500
"4",0.22807709655903,92.0036201704959,478
"5",0.228421427796969,91.8967860356721,518
"6",0.228992594817792,93.0155267797658,484
"7",0.22912165429644,92.4477248737095,487
"8",0.23057662856199,92.9071250014744,520
"9",0.231325368047289,91.4213494631009,518
"10",0.23169254721137,92.9035619053811,472
"11",0.234763096401192,91.5327316643821,513
"12",0.235399986736454,92.4429431785933,508
"13",0.235406142169243,91.6865628719714,515
"14",0.235578728926591,95.3710094273555,513
"15",0.235603969000868,94.7180670982573,509
"16",0.235659571181134,91.8886667310578,499
"17",0.23674813772404,91.7617315980167,484
"18",0.236833419217912,91.7836776263503,502
"19",0.237337867727839,92.595459307798,483
"20",0.237650162295778,91.8483079056558,505
"21",0.23767689820519,90.3895548740203,509
"22",0.23807578509093,92.2933711383775,509
"23",0.238456062088373,93.8984484416829,529
"24",0.238721167253093,93.7406421530563,506
"25",0.238767644820062,92.8059650345923,515
"26",0.239168297132466,94.0028103974308,495
"27",0.240076374765178,92.7715825078767,500
"28",0.240749900543913,92.7055262746487,481
"29",0.241320678858674,92.8184457679091,488
"30",0.241660772552887,91.0564121597312,467
"31",0.242289616650428,91.3191471145475,506
"32",0.242440009398834,93.2367836805095,503
"33",0.242876065681973,93.8950931841043,476
"34",0.244514014392574,93.9102012384426,489
"35",0.244552805734644,93.2369050531424,512
"36",0.244846270984065,91.405798539338,509
"37",0.244866931950926,94.254203259661,519
"38",0.244935761849576,92.9468031133729,478
"39",0.24532410138748,92.6364307151175,521
"40",0.245805943106889,94.7866120142171,490
"41",0.246251194998404,93.465439212817,518
"42",0.246303117702435,92.2101230643949,549
"43",0.246399143043552,92.9981814360813,492
"44",0.246726948705046,91.838464198524,494
"45",0.246977346693414,94.0304033178869,500
"46",0.247065018567961,93.2772540134574,529
"47",0.247161936892072,90.9452870186366,487
"48",0.24874350401285,93.3241453251654,492
"49",0.249051606826418,92.578983064926,493
"50",0.249120979090256,94.8061092113935,488
"51",0.249167151578928,92.2565469574674,496
"52",0.249474938624024,89.9196820912126,498
"53",0.250483149712536,92.963804530668,497
"54",0.250734644008805,93.7713140498095,516
"55",0.251209798524162,93.6250971642998,521
"56",0.251483187229174,92.5031191132853,524
"57",0.25206222056922,93.2456727757676,499
"58",0.252266156949046,93.0945164046914,515
"59",0.252522911504168,92.4755912419388,497
"60",0.253091885840895,92.581661430246,474
"61",0.254107375760998,91.644948406653,507
"62",0.254463926413401,92.7342726544297,513
"63",0.255457612722066,93.8959348029332,518
"64",0.256436661849518,92.257955314318,482
"65",0.256680929079825,92.8202978646019,507
"66",0.256963816304672,92.2169679063076,483
"67",0.257118641227973,92.9370426288898,485
"68",0.258111997903722,93.827666149583,517
"69",0.258457000952775,93.1306840680476,534
"70",0.259243543464053,95.1716448655683,481
"71",0.259529731626012,92.0659646862754,503
"72",0.259975437449552,91.06256518277,514
"73",0.260334845634971,93.6763432271255,520
"74",0.260563331783448,92.1749347363958,477
"75",0.261024254910918,92.9458204116511,521
"76",0.261833186680091,93.179869729524,497
"77",0.262055308423772,93.8526154134533,512
"78",0.262241297443348,93.9590806964442,496
"79",0.263168300862211,92.8020610230968,479
"80",0.263924418053395,93.1824878624357,473
"81",0.263970437452264,94.0878512167999,514
"82",0.264016848497815,92.5948951640929,513
"83",0.265255054825361,93.6572270023901,502
"84",0.265606225988502,91.9828186628665,478
"85",0.265611540288787,95.4961608015987,499
"86",0.265925054665906,92.4075704855868,496
"87",0.266136220412833,95.5359843819314,502
"88",0.266704137055033,92.1348926818911,503
"89",0.268735418088097,93.987103158692,521
"90",0.269052766963584,93.575611294704,515
"91",0.273863864470958,90.7529502362067,493
"92",0.274546284729677,94.8595966239386,486
"93",0.276951185215403,94.3857297220767,499
"94",0.277026707661004,92.6134673376359,501
"95",0.277732113180204,94.8297943896298,514
"96",0.278435582859554,93.450424899958,515
"97",0.2819867330903,93.0185808649822,484
"98",0.282067786350634,91.941709732496,528
"99",0.282637147170901,96.2918648651625,508
"100",0.284527723007794,95.255756707983,492
